Users,Price,Economy,TVTNum,InvestorTVT,InvestorPerc,InvestorSell,InvestorReturn,InvestorPercReturn,Bond
20559,0.010864306989356365,549542070.0,50582340000.0,315004076.4373168,315004076.4373168,32840.26201866689,3948510.722865843,-0.21029785542683135,0.0
21677,0.011455108838381143,579426210.0,50582340000.0,311854035.6729436,311854035.6729436,34279.85681117053,4132811.510685291,-0.17343769786294178,0.0
22158,0.011827566696202666,598266000.0,50582340000.0,308735495.31621414,308735495.31621414,35040.506860816335,4247119.759561832,-0.15057604808763358,0.0
22597,0.011579421592595361,585714240.0,50582340000.0,305648140.363052,305648140.363052,33962.295378219256,4168721.0688589048,-0.16625578622821904,0.0
23151,0.011616156547917712,587572380.0,50582340000.0,302591658.9594215,302591658.9594215,33729.33814685254,4178173.8113159826,-0.16436523773680348,0.0
24284,0.01218464626191671,616327920.0,50582340000.0,299565742.36982733,299565742.36982733,35026.23709915702,4348350.570813192,-0.13032988583736158,0.0
26163,0.013965368150227926,706401000.0,50582340000.0,296570084.9461291,296570084.9461291,39743.685835213866,4879702.072300647,-0.02405958553987052,0.0
26597,0.013629148829413585,689394240.0,50582340000.0,293604384.09666777,293604384.09666777,38398.97934778526,4777968.480853167,-0.04440630382936653,0.0
27169,0.014502353983623534,733563000.0,50582340000.0,290668340.2557011,290668340.2557011,40450.56973847913,5032216.364990358,0.006443272998071648,0.0
26824,0.013888652838124927,702520560.0,50582340000.0,287761656.8531441,287761656.8531441,38351.42085403141,4851814.375780833,-0.02963712484383341,0.0
26617,0.013355243351731058,675539460.0,50582340000.0,284884040.28461266,284884040.28461266,36509.706068425294,4696398.014717664,-0.06072039705646727,0.0
26652,0.014226388103041497,719604000.0,50582340000.0,282035199.8817665,282035199.8817665,38502.273753788795,4942546.81568299,-0.011490636863402091,0.0
26768,0.007,729963360.0,104280480000.0,1890159047.8829489,0.018125722550212168,38665.983826918404,14199983.922453657,1.8399967844907315,0.0
27217,0.007046946849496665,734859000.0,104280480000.0,1871257457.4041193,1871257457.4041193,126538.57830150133,14282061.009625614,1.8564122019251228,0.0
27270,0.006637029288702929,692112600.0,104280480000.0,1852544882.8300781,1852544882.8300781,117986.11023920125,13508789.92179368,1.701757984358736,0.0
27911,0.007009836260822735,730989090.0,104280480000.0,1834019434.0017774,1834019434.0017774,123367.34479740648,14192938.552130371,1.8385877104260742,0.0
28446,0.007291504411947471,760361580.0,104280480000.0,1815679239.6617596,1815679239.6617596,127041.2275489031,14702837.034835177,1.9405674069670353,0.0
29036,0.007367558722399437,768292560.0,104280480000.0,1797522447.265142,1797522447.265142,127082.67248287132,14834238.705699977,1.9668477411399954,0.0
29676,0.007453115290608559,777214440.0,104280480000.0,1779547222.7924905,1779547222.7924905,127272.84935077793,14981329.98654838,1.9962659973096761,0.0
29735,0.007621911118936162,794816550.0,104280480000.0,1761751750.5645654,1761751750.5645654,128853.73225870462,15274928.358685689,2.0549856717371378,0.0
29833,0.007724273996437301,805491000.0,104280480000.0,1744134233.0589197,1744134233.0589197,129278.40573310648,15448462.210698616,2.089692442139723,0.0
31046,0.008118723849372384,846624420.0,104280480000.0,1726692890.7283304,1726692890.7283304,134521.36984720224,16129355.630330529,2.2258711260661057,0.0
32859,0.008252524441774722,860577210.0,104280480000.0,1709425961.821047,1709425961.821047,135370.96519965486,16353263.374364797,2.2706526748729594,0.0
32963,0.008107950308629189,845500950.0,104280480000.0,1692331702.2028365,1692331702.2028365,131669.43716989487,16099194.627380688,2.2198389254761377,0.0
31898,0.008176348440283358,852633540.0,104280480000.0,1675408385.180808,1675408385.180808,131452.38990060895,16208028.407113608,2.2416056814227217,0.0
